t,finance_phi,finance_H,text_phi,text_H,sensor_phi,sensor_H,audio_phi,audio_H,random_phi,random_H,action_node,action_op,action_amount,note
73,0.23547008285703885,0.9627205240253843,0.2167706135934293,0.960749869569858,0.20413905508904406,0.9701004357698875,0.9937677667736348,0.17474278884890163,0.26230791367711204,0.9695713001683199,sensor,restabilized,9,auto
74,0.21155147746768133,0.9667558883945325,0.1631669245869376,0.9641823215178109,0.31346090010740724,0.9434373907156658,0.9932363417987684,0.1769937613687166,0.1589412396338723,0.9721800470398397,sensor,restabilized,9,auto
75,0.3289328305544461,0.918355422385382,0.22483811156984002,0.9690218048270716,0.4022641673852251,0.8865773318275926,0.9925529868094374,0.1663328279068287,0.25138792285422684,0.9626805939826759,sensor,restabilized,9,auto
76,0.2716010699352255,0.9711648277955472,0.2721927679448459,0.9761859240790756,0.4080878514838492,0.9365969970456819,0.9930301733648254,0.1743637892503299,0.14821882657036278,0.9680843459647732,sensor,restabilized,9,auto
77,0.24487216694631364,0.9660902426736214,0.1650019857165127,0.968533375479427,0.28670599903303473,0.9399556709355086,0.9937760966868379,0.1760961890293433,0.20997631992848098,0.9664137888044436,sensor,restabilized,9,auto
78,0.33000361592207084,0.9050824745388389,0.2488550274483291,0.9875478591233622,0.6916624415394605,0.6198311594468653,0.9939756561564519,0.17161442638383034,0.19705218278743197,0.9622076960609153,sensor,restabilized,9,auto
79,0.37937621712383185,0.8816280660925425,0.2089119431653741,0.972453199027403,0.4362119344566088,0.8363862107029532,0.9938232896516156,0.16836049062950004,0.13808984165445237,0.9708433023940252,sensor,restabilized,9,auto
80,0.2593130797139007,0.9532219793621017,0.27805414040858856,0.9618484937842686,0.27681023080693046,0.9316887767139764,0.9915126939017834,0.18797071958765565,0.11174872088901067,0.9650942021960877,sensor,restabilized,9,auto
81,0.2589182330837174,0.968606530480265,0.19803871761524583,0.966465673733793,0.33172499637893826,0.8978355446955476,0.9924904895949062,0.17583011055725553,0.2149872641296442,0.9713750746422679,sensor,restabilized,9,auto
82,0.2197809936951235,0.9714594539886197,0.21264815585614993,0.97517502553898,0.459444317203893,0.8621561258417858,0.9934183320612417,0.17787716661719397,0.17390417249772006,0.9625623105833832,sensor,restabilized,9,auto
83,0.27706053916675655,0.9544729178745364,0.22936859675403065,0.9749794091984711,0.5643539129648836,0.7471715626836215,0.9931492632870719,0.17016721260464093,0.1644962370236288,0.947613284633646,sensor,restabilized,9,auto
84,0.1685098976555428,0.963496413004912,0.26516288130553567,0.967656604867343,0.28227416125006144,0.9496827890650621,0.9928236966036782,0.16952746861952364,0.20162088425659075,0.9751614579584352,sensor,restabilized,9,auto
85,0.2804937799642555,0.9512409176134036,0.1992920403419518,0.9604129358986271,0.3342325804632542,0.9183509593595138,0.9932228718020034,0.18479124174846634,0.2175563870846865,0.9732526204624558,sensor,restabilized,9,auto
86,0.19416641719244365,0.9736669718271298,0.22076935972987988,0.9707858640261495,0.446502657988749,0.888976886008418,0.9920160016097822,0.1777594281894268,0.22378059411415374,0.95975899941534,sensor,restabilized,9,auto
87,0.22664858579263036,0.9683973196514823,0.11891744865055465,0.9460890297942802,0.22862396927143658,0.9696828364548665,0.9928106909554516,0.1704700929611142,0.24029106057289917,0.9512068424715426,sensor,restabilized,9,auto
88,0.2874301953193088,0.9674154914818214,0.14447722816578157,0.9693948410838953,0.5117614740932026,0.8325345132972771,0.9923732291132586,0.17888103671836536,0.1437577815484059,0.9645304302971827,sensor,restabilized,9,auto
89,0.24921058440698607,0.9707573087606018,0.15577199265817754,0.9692141833797698,0.2208027459651275,0.9734661292223581,0.9935409680918137,0.17071948094457806,0.2074518710033375,0.9669565991114191,sensor,restabilized,9,auto
