Symbol,last_close,med_dollar,active_days,sessions,first,peak,crush,age_years
NOG,25.39,58340700.14658735,32,32,2016-01-04,57.4,2.2607325718786924,10.620123203285422
NOMD,11.42,15065974.06117772,32,32,2016-01-12,31.64,2.7705779334500877,10.598220396988363
NORW,36.6297,823943.379165225,32,32,2016-01-04,39.34,1.0739918699852853,10.620123203285422
NOV,20.99,60539222.56909398,32,32,2016-01-04,48.62,2.3163411148165793,10.620123203285422
NOVT,157.11,58503507.7392589,32,32,2016-05-12,186.2,1.1851568964419832,10.26694045174538
NOW,119.49,2162200990.1172132,32,32,2016-01-04,234.078,1.958975646497615,10.620123203285422
NPCE,14.47,2863793.7042579,32,32,2021-04-22,26.5,1.8313752591568762,5.322381930184805
NPCT,9.74,946275.7074781801,32,32,2021-04-28,20.1,2.0636550308008212,5.305954825462012
NPK,147.26,11190903.83627959,32,32,2016-01-04,147.26,1.0,10.620123203285422
NPO,329.43,70669329.12444359,32,32,2016-01-04,387.65,1.1767295024739701,10.620123203285422
NPV,10.76,652738.668319475,32,32,2016-01-04,17.49,1.6254646840148699,10.620123203285422
NRC,22.01,2125488.0945975296,32,32,2018-04-18,70.35,3.196274420717855,8.334017796030116
NREF,17.18,744447.82137214,32,32,2020-02-07,25.84,1.5040745052386497,6.52703627652293
NRG,115.56,305013463.297895,32,32,2016-01-04,184.03,1.5925060574593284,10.620123203285422
NRIM,26.77,4112806.3098558253,32,32,2016-01-04,29.76,1.1116921927530818,10.620123203285422
NRIX,26.93,26695992.318405963,32,32,2020-07-24,50.17,1.8629780913479392,6.067077344284736
NRK,10.35,2480253.965953,32,32,2016-01-04,14.59,1.4096618357487922,10.620123203285422
NRP,102.86,3855590.8408367,32,32,2016-01-04,125.41,1.2192300213882947,10.620123203285422
NRT,8.82,346971.34378697,32,32,2016-01-04,20.49,2.32312925170068,10.620123203285422
NRUC,21.3232,329459.233725,32,32,2019-05-08,29.35,1.3764350566519097,7.279945242984257
NSA,43.41,56171965.66802372,12,12,2016-01-04,69.2,1.5941027413038473,10.620123203285422
NSC,338.91,346633735.18498087,32,32,2016-01-04,350.66,1.034669971378832,10.620123203285422
NSIT,149.24,50118640.12473661,32,32,2016-01-04,225.24,1.5092468507102652,10.620123203285422
NSP,52.33,28685390.62664128,32,32,2016-01-04,144.63,2.7638066118861073,10.620123203285422
NSSC,37.81,9452498.35487003,32,32,2016-01-04,58.0,1.5339857180640042,10.620123203285422
NSYS,12.2,263815.45848599996,32,32,2021-03-26,18.38,1.5065573770491802,5.3963039014373715
NTAP,204.71,451543246.3208952,32,32,2016-01-04,207.08,1.0115773533290997,10.620123203285422
NTB,61.51,9302750.911901236,32,32,2016-09-16,63.91,1.039018045846204,9.919233401779604
NTCT,38.94,23076257.815579977,32,32,2016-01-04,44.84,1.1515151515151516,10.620123203285422
NTES,124.75,104256323.08703154,32,32,2016-01-04,159.34,1.2772745490981965,10.620123203285422
NTGR,22.12,7586063.049833501,32,32,2016-01-04,77.75,3.5149186256781193,10.620123203285422
NTLA,11.6,41341671.93067914,32,32,2016-05-06,176.78,15.239655172413794,10.283367556468173
NTNX,65.83,147394024.88522846,32,32,2016-09-30,83.07,1.2618866778064712,9.880903490759753
NTR,69.4,151841047.76459202,32,32,2018-01-02,114.5,1.6498559077809798,8.624229979466119
NTRA,311.69,315118912.17851174,32,32,2016-01-04,322.1,1.033398569091084,10.620123203285422
NTRS,190.58,183268154.53142446,32,32,2016-01-04,191.47,1.0046699548745932,10.620123203285422
NTRSO,18.3,703495.423,32,32,2019-11-26,28.03,1.5316939890710382,6.7268993839835725
NTSI,48.04,507966.05997422675,32,32,2021-05-20,48.783,1.015466278101582,5.245722108145106
NTST,20.53,27287067.180683315,32,32,2020-08-13,26.65,1.298100340964442,6.012320328542095
NTSX,60.1,1707756.421269385,32,32,2018-08-02,60.89,1.013144758735441,8.043805612594113
NUBD,21.76,828341.7255490001,32,32,2017-10-02,27.39,1.2587316176470587,8.876112251882272
NUDM,40.98,1180998.871194375,32,32,2017-06-07,41.74,1.0185456320156174,9.196440793976729
NUE,264.19,315156624.35284424,32,32,2016-01-04,274.74,1.0399333812786253,10.620123203285422
NUEM,41.2909,947486.3264669755,32,32,2017-06-07,44.1359,1.068901380207261,9.196440793976729
NUGT,157.36,75630373.5128254,32,32,2016-01-04,689.4,4.381037112353837,10.620123203285422
NUHY,21.255,239829.85095624998,32,32,2019-09-26,25.42,1.1959538932015998,6.893908281998631
NULG,115.53,4372365.17959235,32,32,2016-12-14,118.355,1.024452523154159,9.675564681724847
NULV,53.2,3342494.31132386,32,32,2016-12-14,53.91,1.013345864661654,9.675564681724847
NUMG,48.2382,512736.98716136604,32,32,2016-12-14,59.46,1.2326330584474545,9.675564681724847
NUMV,45.07,716738.3379619,32,32,2016-12-14,45.86,1.0175282893277124,9.675564681724847
NUSC,52.32,2027591.399122865,32,32,2016-12-14,53.27,1.01815749235474,9.675564681724847
NUV,8.99,4761450.554810701,32,32,2016-01-04,11.91,1.324805339265851,10.620123203285422
NUW,13.98,586543.8893019999,32,32,2016-01-04,19.5,1.3948497854077253,10.620123203285422
NVAX,7.93,23790907.273629263,32,32,2016-01-04,319.93,40.34426229508197,10.620123203285422
NVCR,17.24,18295391.608935,32,32,2016-01-04,225.58,13.084686774941996,10.620123203285422
NVDA,219.74,25089014405.134384,32,32,2016-01-04,235.74,1.0728133248384455,10.620123203285422
NVEC,114.78,22216520.815901205,32,32,2016-01-04,134.21,1.1692803624324797,10.620123203285422
NVG,12.38,6033713.9186653,32,32,2016-01-04,18.22,1.4717285945072696,10.620123203285422
NVGS,21.36,8813259.210706756,32,32,2016-01-04,24.29,1.1371722846441947,10.620123203285422
NVMI,390.96,209412816.17152262,32,32,2016-01-04,605.65,1.549135461428279,10.620123203285422
NVO,45.71,485349308.38470507,32,32,2016-01-04,146.91,3.2139575585211113,10.620123203285422
NVR,6248.37,198039034.68451846,32,32,2016-01-04,9924.4,1.5883182333952695,10.620123203285422
NVS,154.55,247206082.08295584,32,32,2016-01-04,168.62,1.0910384988676802,10.620123203285422
NVST,27.82,73633366.06096107,32,32,2019-09-18,50.9,1.8296189791516895,6.915811088295688
NVT,164.63,288283383.1727208,32,32,2018-05-01,184.34,1.11972301524631,8.2984257357974
NWBI,15.64,15728778.77570381,32,32,2016-01-04,19.08,1.2199488491048591,10.620123203285422
NWE,70.61,23356909.66706502,32,32,2016-01-04,80.22,1.1360997025917008,10.620123203285422
NWFL,34.37,1128398.62113345,32,32,2016-01-05,40.41,1.1757346523130636,10.617385352498289
NWG,18.74,62854841.3383984,32,32,2020-07-23,19.42,1.0362860192102457,6.069815195071868
NWL,5.93,40034409.98057394,32,32,2016-01-04,54.89,9.256323777403036,10.620123203285422
NWN,51.02,11006804.776602834,32,32,2016-01-04,76.9,1.5072520580164641,10.620123203285422
NWPX,113.75,22912996.76640406,32,32,2016-01-04,149.94,1.3181538461538462,10.620123203285422
NWS,33.49,32886177.88726177,32,32,2016-01-04,35.17,1.0501642281277994,10.620123203285422
NWSA,29.39,93556316.93413597,32,32,2016-01-04,31.03,1.0558012929567882,10.620123203285422
NX,20.01,5419103.514911421,32,32,2016-01-04,38.79,1.9385307346326834,10.620123203285422
NXP,14.19,1889794.4934454851,32,32,2016-01-04,18.72,1.3192389006342495,10.620123203285422
NXPI,228.56,1066567762.7379453,32,32,2016-01-04,332.67,1.45550402520126,10.620123203285422
NXRT,23.48,5796142.940787135,32,32,2016-01-04,95.0,4.045996592844975,10.620123203285422
NXST,182.57,57924879.183106646,32,32,2016-01-04,253.64,1.3892753464424603,10.620123203285422
NXTC,6.65,1747046.0136239252,32,32,2019-05-09,1106.64,166.41203007518797,7.277207392197125
NXTG,151.44,1086124.3339523296,32,32,2019-05-30,167.5793,1.106572239830956,7.219712525667351
NYF,52.73,7671810.96770546,32,32,2016-01-04,58.78,1.1147354447183768,10.620123203285422
NYT,65.07,103145450.3648112,32,32,2016-01-04,85.86,1.3195020746887969,10.620123203285422
NZF,12.28,6124785.94871295,32,32,2016-01-04,17.53,1.4275244299674268,10.620123203285422
O,62.21,326127969.4230533,32,32,2016-01-04,82.44,1.325188876386433,10.620123203285422
OC,150.61,113650488.97623791,32,32,2016-01-04,210.81,1.3997078547241217,10.620123203285422
OCFC,19.56,16662130.667812191,32,32,2016-01-04,30.82,1.5756646216768917,10.620123203285422
