trade_idx,ticker,entry_date,bar_count_at_entry,spy_dk_at_entry,species_classification,W1,W2,W3,cohort,days_held,pnl_pct,exit_reason
580,RCMT,2023-06-28,816,0,,False,False,False,noW3,27,0.066957,exit_a_not_accumulate
581,VTOL,2023-07-24,783,0,,False,False,False,noW3,2,0.033967,exit_a_not_accumulate
582,BBAR,2023-07-24,833,0,,False,False,False,noW3,2,0.013445,exit_a_not_accumulate
583,CASH,2023-06-23,813,0,,False,False,False,noW3,34,0.176875,exit_a_not_accumulate
584,HDSN,2023-06-29,817,0,,False,False,False,noW3,28,-0.116633,exit_f_catastrophic
585,TRIB,2023-07-21,832,0,,False,False,False,noW3,7,-0.0169,exit_a_not_accumulate
586,CAL,2023-07-26,835,0,,False,False,False,noW3,2,0.006296,exit_a_not_accumulate
587,TGS,2023-06-15,808,0,,False,False,False,noW3,46,-0.004815,exit_a_not_accumulate
588,LAUR,2023-07-31,838,0,,False,False,False,noW3,1,0.016419,exit_a_not_accumulate
589,CSTM,2023-06-06,801,0,,False,False,False,noW3,57,0.109432,exit_a_not_accumulate
590,GFI,2023-06-22,812,0,,False,False,False,noW3,41,-0.076177,exit_a_not_accumulate
591,LMAT,2023-06-29,817,0,,False,False,False,noW3,34,-0.040344,exit_a_not_accumulate
592,TTI,2023-08-01,839,0,,False,False,False,noW3,1,0.0,exit_a_not_accumulate
593,TRTX,2023-07-19,830,0,,False,False,False,noW3,15,-0.060927,exit_a_not_accumulate
594,CLMT,2023-08-02,840,0,,False,False,False,noW3,1,0.010095,exit_a_not_accumulate
595,PRLB,2023-06-30,818,0,,False,False,False,noW3,35,-0.123605,exit_f_catastrophic
596,EVH,2023-07-21,832,0,,False,False,False,noW3,14,-0.042752,exit_a_not_accumulate
597,TWI,2023-08-03,841,0,,False,False,False,noW3,1,0.025461,exit_a_not_accumulate
598,TAYD,2023-05-19,749,0,,False,False,False,noW3,80,0.14782,exit_a_not_accumulate
599,WMG,2023-07-14,784,0,,False,False,False,noW3,24,0.058885,exit_a_not_accumulate
600,PERI,2023-08-03,841,0,,False,False,False,noW3,4,0.02309,exit_a_not_accumulate
601,CLMT,2023-08-04,842,0,,False,False,False,noW3,3,0.011598,exit_a_not_accumulate
602,OSUR,2023-08-04,842,0,,False,False,False,noW3,3,0.084746,exit_a_not_accumulate
603,APA,2023-08-04,842,0,,False,False,False,noW3,3,0.005964,exit_a_not_accumulate
604,DVA,2023-07-11,824,0,,False,False,False,noW3,28,0.067238,exit_a_not_accumulate
605,CSV,2023-07-31,838,0,,False,False,False,noW3,8,-0.036854,exit_a_not_accumulate
606,GPMT,2023-06-15,808,0,,False,False,False,noW3,55,0.043071,exit_a_not_accumulate
607,ALTG,2023-06-20,810,0,,False,False,False,noW3,50,-0.000617,exit_a_not_accumulate
608,SMCI,2023-08-07,843,0,,False,False,False,noW3,2,-0.228161,exit_f_catastrophic
609,VTOL,2023-08-03,791,0,,False,False,False,noW3,7,-0.027476,exit_a_not_accumulate
610,MPX,2023-08-03,841,0,,False,False,False,noW3,7,-0.009191,exit_a_not_accumulate
611,RCEL,2023-08-03,841,0,,False,False,False,noW3,7,-0.026638,exit_a_not_accumulate
612,ASYS,2023-08-04,842,0,,False,False,False,noW3,6,-0.185393,exit_f_catastrophic
613,FF,2023-08-07,843,0,,False,False,False,noW3,3,-0.2364,exit_f_catastrophic
614,FVCB,2023-08-08,844,0,,False,False,False,noW3,7,-0.098253,exit_a_not_accumulate
615,OFIX,2023-08-14,848,0,,False,False,False,noW3,1,0.012379,exit_a_not_accumulate
616,NMRK,2023-07-21,832,0,,False,False,False,noW3,26,0.008721,exit_a_not_accumulate
617,HNRG,2023-07-06,821,0,,False,False,False,noW3,43,0.252336,exit_a_not_accumulate
618,BLBD,2023-08-01,839,0,,False,False,False,noW3,20,0.044125,exit_a_not_accumulate
619,LIVE,2023-08-02,826,0,,False,False,False,noW3,19,0.018214,exit_a_not_accumulate
620,CIM,2023-08-04,842,0,,False,False,False,noW3,17,-0.086235,exit_a_not_accumulate
621,TPH,2023-08-14,848,0,,False,False,False,noW3,7,-0.092199,exit_a_not_accumulate
622,VOC,2023-08-14,848,0,,False,False,False,noW3,7,-0.0453,exit_a_not_accumulate
623,KNOP,2023-08-08,844,0,,False,False,False,noW3,14,-0.051724,exit_a_not_accumulate
