ticker,target_date,bar_count,frame_a_s_n,frame_b_s_n,abs_diff,both_in_w1_band,only_a,only_b,band_label
BLCN,2020-04-03,2,0.9419127195058857,0.4880259007622681,0.45388681874361764,False,False,False,neither_in_band
SUSC,2020-04-03,2,0.9549499348396849,0.5599199560733837,0.3950299787663012,False,True,False,only_A_in_band
VREX,2020-04-03,2,0.9276676778195405,0.4807257301201375,0.44694194769940304,False,False,False,neither_in_band
MARA,2020-05-08,2,0.9470142647241943,0.22008962555411257,0.7269246391700817,False,False,False,neither_in_band
OMFL,2020-04-09,6,0.8326494553812419,0.8524906483642429,0.01984119298300102,False,False,False,neither_in_band
PIZ,2020-04-03,2,0.957874558026641,0.5407309268062997,0.41714363122034126,False,True,False,only_A_in_band
FLTW,2020-04-20,12,0.833307299020759,0.9514199533355958,0.11811265431483686,False,False,False,neither_in_band
XSMO,2020-04-03,2,0.9493577219342548,0.5363132851051019,0.41304443682915293,False,False,False,neither_in_band
CNA,2020-04-22,14,0.9016175522624513,0.9353634776445978,0.03374592538214649,False,False,False,neither_in_band
FAF,2020-04-03,2,0.9453945678640323,0.5310889331499342,0.4143056347140981,False,False,False,neither_in_band
ARMK,2020-04-14,8,0.9049442080523901,0.9462353035444289,0.0412910954920388,False,False,False,neither_in_band
BNOV,2020-04-03,2,0.9532320662172882,0.5425429381055021,0.41068912811178604,False,False,False,neither_in_band
DCI,2020-04-20,12,0.8879017353351996,0.927301063397524,0.03939932806232449,False,False,False,neither_in_band
DWSH,2020-04-03,2,0.9505721714415948,0.549058275052464,0.4015138963891308,False,False,False,neither_in_band
FTAI,2020-04-03,2,0.9333483074486432,0.532646376789229,0.4007019306594142,False,False,False,neither_in_band
CMCO,2020-04-09,6,0.9007470008142068,0.9317011766710779,0.030954175856871102,False,False,False,neither_in_band
MFG,2020-04-14,2,0.9389024994289139,0.5310965268143436,0.4078059726145703,False,False,False,neither_in_band
PPC,2020-04-06,2,0.9492879887322954,1.1257917180883532,0.17650372935605785,False,False,False,neither_in_band
EFAS,2020-04-03,2,0.9669831141252008,0.5511043507863916,0.41587876333880913,False,True,False,only_A_in_band
BSCT,2020-04-03,2,0.9493586914136785,0.5607842081367648,0.3885744832769137,False,False,False,neither_in_band
ZTO,2020-04-03,2,0.9364995938831644,0.48376428310880265,0.45273531077436174,False,False,False,neither_in_band
EC,2020-04-03,2,0.9710496599536353,0.5310424932251182,0.44000716672851714,False,False,False,neither_in_band
SHYG,2020-04-03,2,0.9561078392815947,0.5361184236323461,0.41998941564924863,False,True,False,only_A_in_band
WEBL,2020-04-03,2,0.9449979797753986,0.5463256412770309,0.3986723384983677,False,False,False,neither_in_band
PXE,2020-04-16,10,0.7462793550043653,0.7850404976353974,0.03876114263103214,False,False,False,neither_in_band
AVGO,2020-04-09,6,0.8993618564458449,0.9829522488719675,0.08359039242612265,False,False,False,neither_in_band
HYDW,2020-04-15,9,0.9296708642112221,0.7794296563431805,0.15024120786804163,False,False,False,neither_in_band
FNF,2020-04-03,2,0.958716250643272,0.5410347647436297,0.4176814858996424,False,True,False,only_A_in_band
DFEN,2020-04-22,13,0.897632887195979,1.0103190648847695,0.11268617768879052,False,False,False,neither_in_band
