ticker,delta_bar,n_rows,classification
ALKS,0.24380580099278668,1557,normal
ALLT,0.23736563686059547,1173,normal
ALLY,0.2978917259997393,1562,volatile
ALRM,0.23652838539142138,1562,normal
ALRS,0.29852387055639146,1548,volatile
ALSN,0.20561188844382727,1562,calm
ALTG,0.27527955828196726,1528,volatile
ALTY,0.27633454360930204,505,volatile
AM,0.291546468795041,1410,volatile
AMCR,0.3158388718831125,1562,volatile
AMLP,0.267659206110258,1554,normal
AMPH,0.22963315041806223,1553,normal
AMPY,0.2281298213291647,1242,normal
AMRC,0.21338944679412214,1561,calm
AMRX,0.2379475602615839,1167,normal
AMS,0.25802686577128575,378,normal
AMSC,0.17208740510266182,1538,calm
AMSF,0.26543443727596794,1562,normal
AMTB,0.26673019134076315,1562,normal
AMX,0.2807149496376982,1508,volatile
AMZA,0.23752284022168133,1559,normal
ANAB,0.20521711044608246,1560,calm
ANDE,0.22774997133340513,1562,normal
ANGI,0.13352345700843035,1560,calm
ANGL,0.2454876733876762,893,normal
ANGO,0.2537692217128091,1484,normal
ANIK,0.2269773591122094,1525,normal
AOA,0.23765592376784972,1557,normal
AOM,0.26683181952864243,1363,normal
AOR,0.2543239490132311,1539,normal
AP,0.2551631454851413,942,normal
APA,0.2615893149837846,1561,normal
APAM,0.35406033485517735,1560,volatile
APEI,0.21541538664115648,1548,calm
APH,0.15949169655201723,1560,calm
APPS,0.15004029429496926,1473,calm
APT,0.17009130680756596,929,calm
APWC,0.23462833333492508,390,normal
AQN,0.25602473325359665,993,normal
ARCC,0.24434750105852898,1370,normal
ARCO,0.28517023996073015,1195,volatile
ARDX,0.17340374535383526,1116,calm
AREC,0.22072352912150237,628,normal
ARGT,0.22521053924069304,1561,normal
ARI,0.24543276522461774,1329,normal
ARKF,0.2961737889028932,1558,volatile
ARKQ,0.2649092192079387,1562,normal
ARLP,0.27235830700656866,1479,volatile
ARMK,0.22600033224078636,1562,normal
ARMP,0.2137317935193776,1036,calm
AROW,0.2604767679843157,1559,normal
ARR,0.20680355282210194,1519,calm
ARTW,0.25821110980068185,550,normal
ASC,0.24368832139921878,1396,normal
ASHR,0.20013569158993755,1533,calm
ASHS,0.19046468980240785,1550,calm
ASM,0.17961028536737295,356,calm
ASPN,0.21246097056244198,1515,calm
ASRV,0.23376612365716695,349,normal
ASTC,0.13298156823144983,1391,calm
ASTE,0.23800860549244568,1561,normal
ASUR,0.2550302347626943,1344,normal
ASX,0.18124937175212283,1310,calm
ASYS,0.20540260824515327,1363,calm
ATEC,0.22971600910357595,1533,normal
ATHE,0.17702291111213117,1155,calm
ATMP,0.2755898329446057,1476,volatile
ATRC,0.311041156902521,1561,volatile
ATRO,0.16071587646168123,1549,calm
AUB,0.2723602599901662,1562,volatile
AUDC,0.18733631908170692,1503,calm
AUPH,0.17762549719202175,1464,calm
AUSF,0.25135743016821555,1505,normal
AUTL,0.24831376850949408,1125,normal
AVA,0.23356958757134533,1561,normal
AVAL,0.24404340779680309,463,normal
AVD,0.20372108232531932,1442,calm
AVGO,0.12859419429438942,1561,calm
AVNS,0.19844716643210264,1520,calm
AVT,0.2561790227856861,1562,normal
AVTR,0.26476942763574113,1546,normal
AVUV,0.3290340226758435,1562,volatile
AVXL,0.18463746380269577,1470,calm
AWR,0.3241494886831256,1562,volatile
AWRE,0.20100021780694677,436,calm
AWX,0.23927443343650318,533,normal
AX,0.26418538603357783,1561,normal
AXGN,0.24383502483609623,1549,normal
AXR,0.2104772647045793,1470,calm
BAB,0.2413776102277937,1057,normal
BAC,0.28890827340058733,1559,volatile
BAK,0.24407228247747176,1416,normal
BAM,0.2199655965603898,1561,normal
BANR,0.2879422140970756,1562,volatile
BANX,0.2481280145638827,1314,normal
BAPR,0.20324560225382143,1205,calm
BATL,0.15739994827666098,1286,calm
BATRA,0.270382066793879,1559,volatile
BATRK,0.28323435262171875,1557,volatile
BATT,0.27740101567041714,1419,volatile
BBAR,0.2215517519410602,1231,normal
