symbol,decision_timestamp,S_UF,R_UF,D,M,R_rev,U_star,C_k,P,B,forward_return
NCLH,2025-11-21T05:00:00+00:00,0.31578947368421056,0.3123461366603752,-1,0,0,0.36140556651047634,3,0,-1,0.33571428571428563
NCLH,2026-01-22T05:00:00+00:00,0.31578947368421056,0.3141141353291511,-1,0,0,0.3433421138723362,3,0,-1,0.1676272814601345
NCLH,2026-02-12T05:00:00+00:00,0.325,0.3088914763953425,-1,0,0,0.4447809752439629,3,0,-1,0.0455913978494622
WMT,2025-11-21T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.16777440182301562
WMT,2026-01-22T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.04379190358991769
WMT,2026-02-12T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,-0.07969170906914091
HPQ,2025-11-21T05:00:00+00:00,0.3,0.2929575997194044,0,0,0,0.7666666666666666,3,1,0,-0.22412353923205341
HPQ,2026-01-22T05:00:00+00:00,0.3,0.2965640921848137,0,0,0,0.7666666666666666,3,1,0,-0.06253151790216838
HPQ,2026-02-12T05:00:00+00:00,0.3,0.2978494315791,0,0,0,0.7666666666666666,3,1,0,-0.014838367779544281
WFC,2025-11-21T05:00:00+00:00,0.75,0.6909666469696302,-1,0,0,0.6666666666666666,3,1,0,0.06726025749007336
WFC,2026-01-22T05:00:00+00:00,0.75,0.6875901455495625,-1,0,0,0.6666666666666666,3,1,0,0.007496592457973517
WFC,2026-02-12T05:00:00+00:00,0.75,0.6884381261355845,-1,0,0,0.6666666666666666,3,1,0,0.027929076370379002
OXY,2025-11-21T05:00:00+00:00,0.2692307692307692,0.2963233400265263,-1,0,1,0.7666666666666666,3,2,0,0.25096525096525113
OXY,2026-01-22T05:00:00+00:00,0.2692307692307692,0.29913248606904913,-1,0,1,0.7666666666666666,3,2,0,0.20139049826187727
OXY,2026-02-12T05:00:00+00:00,0.2692307692307692,0.3001485349723622,-1,0,1,0.7666666666666666,3,2,0,0.13959111892723675
SLB,2025-11-21T05:00:00+00:00,0.375,0.38185810085173516,-1,-1,1,0.7666666666666666,3,2,0,0.405084277424703
SLB,2026-01-22T05:00:00+00:00,0.375,0.38013900708143344,-1,-1,1,0.7660471899343037,3,2,0,0.031021897810219023
SLB,2026-02-12T05:00:00+00:00,0.375,0.3801358141639956,-1,-1,1,0.7656642505371672,3,2,0,0.004146919431279539
FCX,2025-11-21T05:00:00+00:00,0.36363636363636365,0.29979197265101526,-1,0,1,0.34497630910394594,3,2,0,0.6137446701780789
FCX,2026-01-22T05:00:00+00:00,0.36363636363636365,0.29962514091043924,-1,0,1,0.33701444805484226,3,2,0,0.09328802039082418
FCX,2026-02-12T05:00:00+00:00,0.36363636363636365,0.2994801651718368,-1,0,1,0.34003301170648886,3,2,0,0.03707285622179257
GOOG,2025-11-21T05:00:00+00:00,0.5,0.6078510087425375,1,0,1,0.6666666666666666,3,2,0,0.050892708159519406
GOOG,2026-01-22T05:00:00+00:00,0.6666666666666667,0.6034834918396723,-1,0,0,0.6666666666666666,3,0,0,-0.04818038931205415
