symbol,decision_timestamp,S_UF,R_UF,D,M,R_rev,U_star,C_k,P,B,forward_return
ASH,2026-02-12T05:00:00+00:00,0.5,0.2881820829314295,1,0,0,0.3445910534996477,3,0,0,0.061772898574471435
ASIX,2026-02-12T05:00:00+00:00,0.33333333333333337,0.3077564774146926,1,0,1,0.3431033279148517,3,2,0,0.015692640692640536
ASND,2026-02-12T05:00:00+00:00,0.3888888888888889,0.30704463120318204,1,0,0,0.34632205437392116,3,0,0,0.031636863823933936
ASRV,2026-02-12T05:00:00+00:00,0.5555555555555556,0.31233908256085274,1,0,0,0.3600901348195713,3,0,0,0.09375
ASUR,2026-02-12T05:00:00+00:00,0.5,0.2572351287533606,1,0,1,0.37461292803074264,3,2,-1,0.05668016194331993
ATEN,2026-02-12T05:00:00+00:00,0.4583333333333333,0.41396655068276506,1,0,0,0.33528827674338446,3,0,0,-0.018181818181818188
ATHM,2026-02-12T05:00:00+00:00,0.55,0.26386322889342917,1,0,0,0.3502468665980826,3,0,0,0.0009510223490252212
ATMU,2026-02-12T05:00:00+00:00,0.5,0.5996266826476909,1,0,1,0.6666666666666666,3,2,0,0.04153251770766264
ATRO,2026-02-12T05:00:00+00:00,0.5,0.3108143372396616,1,0,1,0.34255172576112713,3,2,-1,0.03109764132296755
ATS,2026-02-12T05:00:00+00:00,0.5625,0.3218459818519048,1,0,0,0.34950901889547137,3,0,0,0.06452658884565499
AU,2026-02-12T05:00:00+00:00,0.625,0.3042208078268966,1,0,0,0.35780273213675523,3,0,0,0.09090041057958564
AUDC,2026-02-12T05:00:00+00:00,0.3076923076923077,0.27602950410401617,1,0,1,0.3681260367214933,3,2,0,0.0013831258644536604
AVBP,2026-02-12T05:00:00+00:00,0.40909090909090906,0.32347237369074605,1,0,1,0.34751431818201933,3,2,0,0.025423728813559254
AVNS,2026-02-12T05:00:00+00:00,0.5,0.4884136925113806,1,0,0,0.5710423973979246,3,0,0,0.04742547425474264
AVPT,2026-02-12T05:00:00+00:00,0.3888888888888889,0.2654278423464015,1,0,0,0.3630868242228767,3,0,0,0.006711409395973256
AX,2026-02-12T05:00:00+00:00,0.5,0.30661264301860314,1,0,1,0.34003491314494877,3,2,0,0.029296668429402484
AXON,2026-02-12T05:00:00+00:00,0.42,0.26776990165578046,1,0,1,0.3757574732519394,3,2,-1,-0.004359698033546633
AYI,2026-02-12T05:00:00+00:00,0.42857142857142855,0.43998910910854244,1,0,0,0.6666666666666666,3,0,0,-0.007789554335333904
BABA,2026-02-12T05:00:00+00:00,0.3076923076923077,0.260245866987045,1,0,0,0.3566493293759092,3,0,-1,-0.026964026964027
BAH,2026-02-12T05:00:00+00:00,0.5,0.35640022131151344,1,0,0,0.6666666666666666,3,0,0,-0.00923906069549607
BAK,2026-02-12T05:00:00+00:00,0.4655172413793104,0.29950398653283195,1,0,0,0.4647294890679816,3,0,-1,0.04289544235924936
BANFP,2026-02-09T05:00:00+00:00,0.39999999999999997,0.43128315646862775,1,0,1,0.4411894131312601,3,2,0,0.006513409961685701
BAX,2026-02-12T05:00:00+00:00,0.3888888888888889,0.3380952591113205,1,0,0,0.5098559694684618,3,0,0,0.15339390700160327
BCAL,2026-02-12T05:00:00+00:00,0.75,0.6548938232342458,1,0,0,0.6666666666666666,3,1,0,0.0026441036488631386
BCH,2026-02-12T05:00:00+00:00,0.5,0.5701332381439408,1,0,1,0.6666666666666666,3,2,0,-0.011885714285714388
BDC,2026-02-12T05:00:00+00:00,0.33333333333333337,0.34198179608864465,1,0,1,0.3411173646071614,3,2,0,-0.033927506460804446
BDN,2026-02-12T05:00:00+00:00,0.5,0.3168479640990567,1,0,0,0.33841935020189956,3,0,0,0.06270627062706291
BEAM,2026-02-12T05:00:00+00:00,0.34020618556701027,0.2778904518258783,1,0,0,0.35426370453684186,3,0,-1,0.024507983661344213
BFH,2026-02-12T05:00:00+00:00,0.5555555555555556,0.29891419210189674,1,0,0,0.48409846682915003,3,0,0,0.04787602047876027
BG,2026-02-12T05:00:00+00:00,0.6666666666666667,0.5980812575960576,1,0,0,0.6666666666666666,3,0,0,0.0017249876786595841
BH,2026-02-12T05:00:00+00:00,0.6111111111111112,0.29209342515934666,1,0,0,0.3757401110965989,3,0,0,-0.01873824156528281
BH.A,2026-02-12T05:00:00+00:00,0.6153846153846154,0.30885557259754715,1,0,0,0.3670594235771905,3,0,0,0.0185650021163708
BIDU,2026-02-12T05:00:00+00:00,0.3636363636363636,0.24498707823543756,1,0,1,0.33863787386929495,3,2,0,-0.01821072409307689
BKTI,2026-02-12T05:00:00+00:00,0.34375,0.28100168595321734,1,0,1,0.3401749494116357,3,2,-1,0.0447998046875
BKV,2026-02-12T05:00:00+00:00,0.5833333333333334,0.390052818588371,1,0,0,0.35627181727858837,3,0,0,0.042122719734660086
BLD,2026-02-12T05:00:00+00:00,0.33333333333333337,0.4659096911300252,1,0,1,0.369750043357049,3,2,0,-0.03426199914391548
BLK,2026-02-12T05:00:00+00:00,0.6666666666666667,0.5713188386794097,1,0,0,0.49212676470965727,3,0,0,0.03600693424779511
BLZE,2026-02-12T05:00:00+00:00,0.32051282051282054,0.2826304518962056,1,0,0,0.4409294615920735,3,0,-1,0.1055276381909549
BMI,2026-02-12T05:00:00+00:00,0.5,0.4829887373498785,1,0,0,0.5389349219816394,3,0,0,0.006060223470740533
BMRN,2026-02-12T05:00:00+00:00,0.5625,0.3380247777046448,1,0,0,0.3442576267115291,3,0,0,0.06906906906906918
BOHpA,2026-02-12T05:00:00+00:00,0.5,0.3404136197590274,1,0,0,0.3945850046329853,3,1,0,0.005988023952095967
BRBR,2026-02-12T05:00:00+00:00,0.5384615384615384,0.28930242870667194,1,0,0,0.3716094773397606,3,0,0,0.08059023836549373
BRO,2026-02-12T05:00:00+00:00,0.6666666666666667,0.585455269105044,1,0,0,0.6666666666666666,3,0,0,0.0008629368617862898
BSM,2026-02-12T05:00:00+00:00,0.6666666666666667,0.5559421084664485,1,0,0,0.4079252134873558,3,0,0,-0.002647253474520106
BSY,2026-02-12T05:00:00+00:00,0.375,0.5049457926875565,1,0,1,0.4838096466975943,3,2,0,-0.007624633431084993
BTG,2026-02-12T05:00:00+00:00,0.35714285714285715,0.42217616736180175,1,0,0,0.5575124860248942,3,0,0,0.07370517928286846
BV,2026-02-12T05:00:00+00:00,0.3333333333333333,0.36709839424506896,1,0,0,0.3382661766079161,3,0,0,0.04931714719271629
BWB,2026-02-12T05:00:00+00:00,0.7,0.4318092049736305,1,0,0,0.3632859892809938,3,0,0,0.007820646506777829
BWLP,2026-02-12T05:00:00+00:00,0.4166666666666667,0.429262244180786,1,0,0,0.44326200676874,3,0,0,0.08540278619018782
BWXT,2026-02-12T05:00:00+00:00,0.35714285714285715,0.4489118515127741,1,0,0,0.4099832314163691,3,0,0,0.048450990350431544
CAE,2026-02-12T05:00:00+00:00,0.3181818181818182,0.3356821216814868,1,0,1,0.3548891124563153,3,2,0,-0.0449330783938815
CARG,2026-02-12T05:00:00+00:00,0.368421052631579,0.3109954567495893,1,0,1,0.3582802391391856,3,2,0,0.11906528189910981
