step,file,chunk,phi,H,energy,visual,auditory,smell,taste,touch,emotion,lexical
185,Love Poems and Others.txt,56,0.500,0.000,0.500,0.923,0.901,0.907,0.942,0.956,0.784,0.000
186,Love Poems and Others.txt,57,0.500,0.000,0.500,0.904,0.862,0.867,0.893,0.914,0.881,0.000
187,Love Poems and Others.txt,58,0.500,0.000,0.500,0.921,0.851,0.921,0.922,0.947,0.935,0.000
188,Love Poems and Others.txt,59,0.500,0.000,0.500,0.898,0.882,0.943,0.944,0.949,0.964,0.000
189,Paradise Lost.txt,0,0.500,0.000,0.500,0.926,0.902,0.948,0.898,0.911,0.980,0.000
190,Paradise Lost.txt,1,0.500,0.000,0.500,0.926,0.905,0.945,0.929,0.850,0.989,0.000
191,Paradise Lost.txt,2,0.500,0.000,0.500,0.896,0.908,0.907,0.895,0.905,0.994,0.000
192,Paradise Lost.txt,3,0.500,0.000,0.500,0.895,0.911,0.888,0.913,0.898,0.997,0.000
193,Paradise Lost.txt,4,0.500,0.000,0.500,0.890,0.903,0.921,0.946,0.908,0.769,0.000
194,Paradise Lost.txt,5,0.500,0.000,0.500,0.894,0.937,0.930,0.897,0.895,0.808,0.000
195,Paradise Lost.txt,6,0.500,0.000,0.500,0.883,0.932,0.931,0.914,0.872,0.479,0.000
196,Paradise Lost.txt,7,0.500,0.000,0.500,0.914,0.904,0.880,0.869,0.907,0.694,0.000
197,Paradise Lost.txt,8,0.500,0.000,0.500,0.893,0.922,0.868,0.874,0.943,0.829,0.000
198,Paradise Lost.txt,9,0.500,0.000,0.500,0.931,0.874,0.876,0.921,0.934,0.905,0.000
199,Paradise Lost.txt,10,0.500,0.000,0.500,0.918,0.872,0.885,0.942,0.945,0.522,0.000
200,Paradise Lost.txt,11,0.500,0.000,0.500,0.926,0.873,0.905,0.953,0.955,0.734,0.000
201,Paradise Lost.txt,12,0.500,0.000,0.500,0.942,0.888,0.921,0.898,0.927,0.418,0.000
202,Paradise Lost.txt,13,0.500,0.000,0.500,0.893,0.915,0.872,0.926,0.933,0.575,0.000
203,Paradise Lost.txt,14,0.500,0.000,0.500,0.909,0.918,0.858,0.904,0.957,0.752,0.000
204,Paradise Lost.txt,15,0.500,0.000,0.500,0.896,0.896,0.873,0.901,0.935,0.861,0.000
205,Paradise Lost.txt,16,0.500,0.000,0.500,0.923,0.919,0.891,0.933,0.937,0.923,0.000
206,Paradise Lost.txt,17,0.500,0.000,0.500,0.907,0.943,0.904,0.891,0.907,0.957,0.000
207,Paradise Lost.txt,18,0.500,0.000,0.500,0.927,0.929,0.922,0.932,0.918,0.977,0.000
208,Paradise Lost.txt,19,0.500,0.000,0.500,0.890,0.942,0.893,0.911,0.936,0.987,0.000
209,Paradise Lost.txt,20,0.500,0.000,0.500,0.917,0.914,0.905,0.942,0.928,0.993,0.000
210,Paradise Lost.txt,21,0.500,0.000,0.500,0.915,0.885,0.934,0.926,0.877,0.996,0.000
211,Paradise Lost.txt,22,0.500,0.000,0.500,0.898,0.917,0.914,0.873,0.898,0.754,0.000
212,Paradise Lost.txt,23,0.500,0.000,0.500,0.934,0.935,0.931,0.893,0.913,0.822,0.000
213,Paradise Lost.txt,24,0.500,0.000,0.500,0.934,0.920,0.928,0.935,0.892,0.530,0.000
